tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-12.56258,-47.72453,0.0,0.01,0.01,0.0
blue,-12.1204,-49.38686,0.0,0.01,0.01,0.0
blue,-11.60989,-51.0855,0.0,0.01,0.01,0.0
blue,-10.965589999999999,-52.79916,0.0,0.01,0.01,0.0
blue,-10.08484,-54.50849,0.0,0.01,0.01,0.0
blue,-8.764315,-56.13889,0.0,0.01,0.01,0.0
blue,-7.042822,-57.32252,0.0,0.01,0.01,0.0
blue,-5.253563,-58.06873,0.0,0.01,0.01,0.0
blue,-3.468813,-58.5559,0.0,0.01,0.01,0.0
blue,-1.705197,-58.88723,0.0,0.01,0.01,0.0
blue,0.03300017,-59.12571,0.0,0.01,0.01,0.0
blue,1.7267689999999998,-59.31633000000001,0.0,0.01,0.01,0.0
blue,3.41739,-59.511680000000005,0.0,0.01,0.01,0.0
blue,5.215779,-59.65288,0.0,0.01,0.01,0.0
blue,6.978661,-59.694269999999996,0.0,0.01,0.01,0.0
blue,8.716159,-59.6763,0.0,0.01,0.01,0.0
blue,10.42339,-59.62501999999999,0.0,0.01,0.01,0.0
blue,12.12382,-59.56864,0.0,0.01,0.01,0.0
blue,13.8158,-59.51684,0.0,0.01,0.01,0.0
blue,15.494279999999998,-59.50181,0.0,0.01,0.01,0.0
blue,17.19112,-59.50156,0.0,0.01,0.01,0.0
blue,18.88795,-59.5013,0.0,0.01,0.01,0.0
blue,20.584789999999998,-59.50105,0.0,0.01,0.01,0.0
blue,22.28164,-59.50079,0.0,0.01,0.01,0.0
blue,23.97847,-59.50054,0.0,0.01,0.01,0.0
blue,25.67531,-59.500280000000004,0.0,0.01,0.01,0.0
blue,27.34403,-59.53819,0.0,0.01,0.01,0.0
blue,29.048470000000002,-59.58916,0.0,0.01,0.01,0.0
blue,30.82583,-59.58925,0.0,0.01,0.01,0.0
blue,32.65911,-59.44119,0.0,0.01,0.01,0.0
blue,34.4763,-59.146280000000004,0.0,0.01,0.01,0.0
blue,36.48877,-58.421640000000004,0.0,0.01,0.01,0.0
blue,38.13216,-57.29226,0.0,0.01,0.01,0.0
blue,39.49893,-54.71618,0.0,0.01,0.01,0.0
blue,38.03924,-52.194320000000005,0.0,0.01,0.01,0.0
blue,36.28282,-51.12715,0.0,0.01,0.01,0.0
blue,34.14883,-50.595420000000004,0.0,0.01,0.01,0.0
blue,32.3301,-50.52386,0.0,0.01,0.01,0.0
blue,30.65043,-50.4743,0.0,0.01,0.01,0.0
blue,28.90072,-50.46111,0.0,0.01,0.01,0.0
blue,27.197540000000004,-50.48151,0.0,0.01,0.01,0.0
blue,25.49814,-50.49807,0.0,0.01,0.01,0.0
blue,23.798779999999997,-50.498540000000006,0.0,0.01,0.01,0.0
blue,22.09941,-50.498999999999995,0.0,0.01,0.01,0.0
blue,20.40005,-50.49947,0.0,0.01,0.01,0.0
blue,18.7007,-50.49994,0.0,0.01,0.01,0.0
blue,17.00134,-50.5004,0.0,0.01,0.01,0.0
blue,15.2862,-50.50822,0.0,0.01,0.01,0.0
blue,13.584489999999999,-50.54647,0.0,0.01,0.01,0.0
blue,11.88687,-50.5837,0.0,0.01,0.01,0.0
blue,10.2288,-50.59068,0.0,0.01,0.01,0.0
blue,8.617191,-50.53069,0.0,0.01,0.01,0.0
blue,6.903903,-50.4164,0.0,0.01,0.01,0.0
blue,5.223192,-50.32215,0.0,0.01,0.01,0.0
blue,3.6446199999999997,-50.16146,0.0,0.01,0.01,0.0
blue,2.215255,-49.85229,0.0,0.01,0.01,0.0
blue,1.122366,-49.34872,0.0,0.01,0.01,0.0
blue,0.5595289000000001,-48.627829999999996,0.0,0.01,0.01,0.0
blue,0.5790102,-48.23939,0.0,0.01,0.01,0.0
blue,1.051642,-47.685759999999995,0.0,0.01,0.01,0.0
blue,2.199077,-47.320609999999995,0.0,0.01,0.01,0.0
blue,3.64716,-47.21161,0.0,0.01,0.01,0.0
blue,5.236308999999999,-47.272690000000004,0.0,0.01,0.01,0.0
blue,6.920234,-47.40466,0.0,0.01,0.01,0.0
blue,8.710312,-47.502140000000004,0.0,0.01,0.01,0.0
blue,10.44417,-47.48097,0.0,0.01,0.01,0.0
blue,12.13295,-47.48236,0.0,0.01,0.01,0.0
blue,13.82815,-47.49055,0.0,0.01,0.01,0.0
blue,15.52334,-47.49875,0.0,0.01,0.01,0.0
blue,17.21854,-47.50694,0.0,0.01,0.01,0.0
blue,18.915689999999998,-47.51786,0.0,0.01,0.01,0.0
blue,20.617810000000002,-47.53575,0.0,0.01,0.01,0.0
blue,22.31993,-47.55363,0.0,0.01,0.01,0.0
blue,24.022660000000002,-47.570609999999995,0.0,0.01,0.01,0.0
blue,25.73592,-47.572070000000004,0.0,0.01,0.01,0.0
blue,27.456770000000002,-47.55338,0.0,0.01,0.01,0.0
blue,29.182879999999997,-47.506240000000005,0.0,0.01,0.01,0.0
blue,30.812359999999998,-47.49745,0.0,0.01,0.01,0.0
blue,32.54438,-47.51548,0.0,0.01,0.01,0.0
blue,34.42429,-47.395959999999995,0.0,0.01,0.01,0.0
blue,36.48757,-46.83358,0.0,0.01,0.01,0.0
blue,38.2934,-45.61652,0.0,0.01,0.01,0.0
blue,39.476659999999995,-42.85857,0.0,0.01,0.01,0.0
blue,38.09711,-40.546009999999995,0.0,0.01,0.01,0.0
blue,36.30857,-39.34267,0.0,0.01,0.01,0.0
blue,34.28138,-38.77133,0.0,0.01,0.01,0.0
blue,32.43547,-38.59787,0.0,0.01,0.01,0.0
blue,30.73518,-38.527809999999995,0.0,0.01,0.01,0.0
blue,29.00575,-38.44042,0.0,0.01,0.01,0.0
blue,27.257929999999998,-38.42224,0.0,0.01,0.01,0.0
blue,25.53653,-38.44271,0.0,0.01,0.01,0.0
blue,23.84064,-38.47518,0.0,0.01,0.01,0.0
blue,22.15721,-38.49949,0.0,0.01,0.01,0.0
blue,20.45719,-38.4996,0.0,0.01,0.01,0.0
blue,18.757170000000002,-38.49973,0.0,0.01,0.01,0.0
blue,17.05714,-38.49984,0.0,0.01,0.01,0.0
blue,15.357120000000002,-38.499970000000005,0.0,0.01,0.01,0.0
blue,13.657110000000001,-38.50008,0.0,0.01,0.01,0.0
blue,11.957089999999999,-38.500209999999996,0.0,0.01,0.01,0.0
blue,10.241060000000001,-38.50711,0.0,0.01,0.01,0.0
blue,8.537821000000001,-38.54707,0.0,0.01,0.01,0.0
blue,6.889425999999999,-38.56103,0.0,0.01,0.01,0.0
blue,5.2795440000000005,-38.4679,0.0,0.01,0.01,0.0
blue,3.6312279999999997,-38.34364,0.0,0.01,0.01,0.0
blue,2.2743450000000003,-38.08685,0.0,0.01,0.01,0.0
blue,1.378228,-37.53752,0.0,0.01,0.01,0.0
blue,0.6321018,-36.61217,0.0,0.01,0.01,0.0
blue,0.5142131,-36.220279999999995,0.0,0.01,0.01,0.0
blue,1.120954,-35.43764,0.0,0.01,0.01,0.0
blue,2.035592,-34.87965,0.0,0.01,0.01,0.0
blue,3.363218,-34.62754,0.0,0.01,0.01,0.0
blue,4.956716,-34.55118,0.0,0.01,0.01,0.0
blue,6.706681,-34.49467,0.0,0.01,0.01,0.0
blue,8.339858,-34.43247,0.0,0.01,0.01,0.0
blue,10.00415,-34.42902,0.0,0.01,0.01,0.0
blue,11.694,-34.45192,0.0,0.01,0.01,0.0
blue,13.39546,-34.48141,0.0,0.01,0.01,0.0
blue,15.11408,-34.5,0.0,0.01,0.01,0.0
blue,16.81278,-34.50005,0.0,0.01,0.01,0.0
blue,18.51148,-34.5001,0.0,0.01,0.01,0.0
blue,20.21017,-34.50015,0.0,0.01,0.01,0.0
blue,21.90887,-34.5002,0.0,0.01,0.01,0.0
blue,23.607570000000003,-34.500240000000005,0.0,0.01,0.01,0.0
blue,25.306279999999997,-34.50029,0.0,0.01,0.01,0.0
blue,26.96048,-34.5363,0.0,0.01,0.01,0.0
blue,28.657009999999996,-34.608259999999994,0.0,0.01,0.01,0.0
blue,30.40376,-34.65488,0.0,0.01,0.01,0.0
blue,32.23082,-34.59527,0.0,0.01,0.01,0.0
blue,34.09482,-34.319309999999994,0.0,0.01,0.01,0.0
blue,35.99429,-33.760220000000004,0.0,0.01,0.01,0.0
blue,37.84623,-32.54126,0.0,0.01,0.01,0.0
blue,39.23379,-30.6971,0.0,0.01,0.01,0.0
blue,38.889179999999996,-27.66191,0.0,0.01,0.01,0.0
blue,37.35595,-26.10582,0.0,0.01,0.01,0.0
blue,35.414359999999995,-25.08462,0.0,0.01,0.01,0.0
blue,33.53106,-24.6616,0.0,0.01,0.01,0.0
blue,31.72788,-24.43843,0.0,0.01,0.01,0.0
blue,29.91423,-24.37661,0.0,0.01,0.01,0.0
blue,28.174740000000003,-24.41102,0.0,0.01,0.01,0.0
blue,26.47227,-24.46823,0.0,0.01,0.01,0.0
blue,24.81161,-24.49994,0.0,0.01,0.01,0.0
blue,23.11122,-24.49996,0.0,0.01,0.01,0.0
blue,21.410829999999997,-24.499979999999997,0.0,0.01,0.01,0.0
blue,19.71043,-24.50001,0.0,0.01,0.01,0.0
blue,18.01005,-24.50003,0.0,0.01,0.01,0.0
blue,16.30965,-24.50005,0.0,0.01,0.01,0.0
blue,14.60926,-24.50008,0.0,0.01,0.01,0.0
blue,12.90887,-24.5001,0.0,0.01,0.01,0.0
blue,11.20848,-24.500120000000003,0.0,0.01,0.01,0.0
blue,9.508091,-24.50014,0.0,0.01,0.01,0.0
blue,7.807701,-24.50017,0.0,0.01,0.01,0.0
blue,6.054794,-24.55614,0.0,0.01,0.01,0.0
blue,4.459087,-24.590770000000003,0.0,0.01,0.01,0.0
blue,3.026295,-24.40888,0.0,0.01,0.01,0.0
blue,1.7103099999999998,-24.031129999999997,0.0,0.01,0.01,0.0
blue,1.024394,-23.45857,0.0,0.01,0.01,0.0
blue,0.5354365,-22.45394,0.0,0.01,0.01,0.0
blue,0.6297027,-21.703889999999998,0.0,0.01,0.01,0.0
blue,1.265808,-20.628239999999998,0.0,0.01,0.01,0.0
blue,2.135672,-19.90776,0.0,0.01,0.01,0.0
blue,3.299088,-19.42922,0.0,0.01,0.01,0.0
blue,4.6657839999999995,-19.2901,0.0,0.01,0.01,0.0
blue,6.246157,-19.34345,0.0,0.01,0.01,0.0
blue,7.951028,-19.46106,0.0,0.01,0.01,0.0
blue,9.730416,-19.49985,0.0,0.01,0.01,0.0
blue,11.43035,-19.49993,0.0,0.01,0.01,0.0
blue,13.130320000000001,-19.5,0.0,0.01,0.01,0.0
blue,14.830279999999998,-19.50007,0.0,0.01,0.01,0.0
blue,16.53022,-19.50014,0.0,0.01,0.01,0.0
blue,18.230179999999997,-19.50021,0.0,0.01,0.01,0.0
blue,19.93011,-19.50028,0.0,0.01,0.01,0.0
blue,21.63008,-19.50035,0.0,0.01,0.01,0.0
blue,23.33002,-19.500429999999998,0.0,0.01,0.01,0.0
blue,25.02998,-19.5005,0.0,0.01,0.01,0.0
blue,26.711809999999996,-19.5348,0.0,0.01,0.01,0.0
blue,28.417379999999998,-19.57262,0.0,0.01,0.01,0.0
blue,30.19075,-19.56038,0.0,0.01,0.01,0.0
blue,31.94296,-19.439770000000003,0.0,0.01,0.01,0.0
blue,33.72906,-19.27492,0.0,0.01,0.01,0.0
blue,35.75286,-18.764329999999998,0.0,0.01,0.01,0.0
blue,37.58409,-17.51912,0.0,0.01,0.01,0.0
blue,38.93845,-15.853589999999999,0.0,0.01,0.01,0.0
blue,39.385329999999996,-13.09469,0.0,0.01,0.01,0.0
blue,38.158409999999996,-11.02937,0.0,0.01,0.01,0.0
blue,36.57826,-9.700365,0.0,0.01,0.01,0.0
blue,34.50323,-8.868497,0.0,0.01,0.01,0.0
blue,32.62165,-8.618314,0.0,0.01,0.01,0.0
blue,30.92613,-8.498581,0.0,0.01,0.01,0.0
blue,29.138820000000003,-8.41463,0.0,0.01,0.01,0.0
blue,27.39204,-8.414774000000001,0.0,0.01,0.01,0.0
blue,25.6828,-8.449398,0.0,0.01,0.01,0.0
blue,23.98497,-8.489141,0.0,0.01,0.01,0.0
blue,22.299310000000002,-8.498419,0.0,0.01,0.01,0.0
blue,20.60024,-8.499016000000001,0.0,0.01,0.01,0.0
blue,18.90119,-8.499613,0.0,0.01,0.01,0.0
blue,17.20212,-8.500209,0.0,0.01,0.01,0.0
blue,15.503079999999999,-8.500805,0.0,0.01,0.01,0.0
blue,13.80287,-8.511122,0.0,0.01,0.01,0.0
blue,12.101289999999999,-8.532982,0.0,0.01,0.01,0.0
blue,10.414819999999999,-8.547234,0.0,0.01,0.01,0.0
blue,8.774594,-8.517014,0.0,0.01,0.01,0.0
blue,7.081214999999999,-8.444529,0.0,0.01,0.01,0.0
blue,5.411514,-8.367693,0.0,0.01,0.01,0.0
blue,3.834973,-8.214634,0.0,0.01,0.01,0.0
blue,2.4188549999999998,-7.911144,0.0,0.01,0.01,0.0
blue,1.228416,-7.368662,0.0,0.01,0.01,0.0
blue,0.727603,-6.839866000000001,0.0,0.01,0.01,0.0
blue,0.5087550000000001,-5.633926,0.0,0.01,0.01,0.0
blue,0.6213632,-4.444017,0.0,0.01,0.01,0.0
blue,1.1237139999999999,-3.703149,0.0,0.01,0.01,0.0
blue,2.118643,-2.995854,0.0,0.01,0.01,0.0
blue,3.317575,-2.672791,0.0,0.01,0.01,0.0
blue,4.842771,-2.552716,0.0,0.01,0.01,0.0
blue,6.525741,-2.523128,0.0,0.01,0.01,0.0
blue,8.211266,-2.473836,0.0,0.01,0.01,0.0
blue,9.882726,-2.4811400000000003,0.0,0.01,0.01,0.0
blue,11.58314,-2.4989470000000003,0.0,0.01,0.01,0.0
blue,13.287560000000001,-2.49896,0.0,0.01,0.01,0.0
blue,14.991979999999998,-2.498973,0.0,0.01,0.01,0.0
blue,16.69637,-2.498986,0.0,0.01,0.01,0.0
blue,18.39923,-2.495316,0.0,0.01,0.01,0.0
blue,20.09744,-2.480718,0.0,0.01,0.01,0.0
blue,21.770889999999998,-2.480506,0.0,0.01,0.01,0.0
blue,23.375,-2.549887,0.0,0.01,0.01,0.0
blue,25.04545,-2.7037009999999997,0.0,0.01,0.01,0.0
blue,26.76725,-2.858767,0.0,0.01,0.01,0.0
blue,28.53805,-2.925753,0.0,0.01,0.01,0.0
blue,30.21453,-2.995135,0.0,0.01,0.01,0.0
blue,32.04124,-3.003172,0.0,0.01,0.01,0.0
blue,34.05648,-2.707975,0.0,0.01,0.01,0.0
blue,35.99139,-1.7868509999999997,0.0,0.01,0.01,0.0
blue,37.54309,-0.5747894,0.0,0.01,0.01,0.0
blue,38.88705,1.069041,0.0,0.01,0.01,0.0
blue,39.46031,3.66643,0.0,0.01,0.01,0.0
blue,38.43438,5.885483,0.0,0.01,0.01,0.0
blue,36.99608,7.3258410000000005,0.0,0.01,0.01,0.0
blue,35.38577,8.424736,0.0,0.01,0.01,0.0
blue,33.394740000000006,9.188993,0.0,0.01,0.01,0.0
blue,31.47549,9.442707,0.0,0.01,0.01,0.0
blue,29.690890000000003,9.483564999999999,0.0,0.01,0.01,0.0
blue,27.9971,9.479261,0.0,0.01,0.01,0.0
blue,26.315170000000002,9.529672,0.0,0.01,0.01,0.0
blue,24.58164,9.533633,0.0,0.01,0.01,0.0
blue,22.87893,9.515107,0.0,0.01,0.01,0.0
blue,21.17679,9.501041,0.0,0.01,0.01,0.0
blue,19.47654,9.500878,0.0,0.01,0.01,0.0
blue,17.77627,9.500715,0.0,0.01,0.01,0.0
blue,16.076,9.500552,0.0,0.01,0.01,0.0
blue,14.375729999999999,9.500389,0.0,0.01,0.01,0.0
blue,12.675510000000001,9.500227,0.0,0.01,0.01,0.0
blue,10.97524,9.500063,0.0,0.01,0.01,0.0
blue,9.274974,9.4999,0.0,0.01,0.01,0.0
blue,7.559596000000001,9.498211999999999,0.0,0.01,0.01,0.0
blue,5.815105,9.409833,0.0,0.01,0.01,0.0
blue,4.398605,9.432871,0.0,0.01,0.01,0.0
blue,3.011212,9.789428,0.0,0.01,0.01,0.0
blue,1.7381389999999999,10.33513,0.0,0.01,0.01,0.0
blue,1.0398040000000002,10.955810000000001,0.0,0.01,0.01,0.0
blue,0.6170598,12.0924,0.0,0.01,0.01,0.0
blue,0.5114356,13.33025,0.0,0.01,0.01,0.0
blue,0.786849,14.576820000000001,0.0,0.01,0.01,0.0
blue,1.313585,15.38076,0.0,0.01,0.01,0.0
blue,2.4012740000000004,16.077360000000002,0.0,0.01,0.01,0.0
blue,3.698646,16.56439,0.0,0.01,0.01,0.0
blue,5.067808,16.73493,0.0,0.01,0.01,0.0
blue,6.6328830000000005,16.70881,0.0,0.01,0.01,0.0
blue,8.306453,16.59477,0.0,0.01,0.01,0.0
blue,10.0846,16.50175,0.0,0.01,0.01,0.0
blue,11.79325,16.500529999999998,0.0,0.01,0.01,0.0
blue,13.49399,16.50044,0.0,0.01,0.01,0.0
blue,15.19474,16.500339999999998,0.0,0.01,0.01,0.0
blue,16.89544,16.500239999999998,0.0,0.01,0.01,0.0
blue,18.59618,16.50015,0.0,0.01,0.01,0.0
blue,20.29693,16.50005,0.0,0.01,0.01,0.0
blue,21.99767,16.49995,0.0,0.01,0.01,0.0
blue,23.69837,16.49986,0.0,0.01,0.01,0.0
blue,25.39912,16.499760000000002,0.0,0.01,0.01,0.0
blue,27.08282,16.48126,0.0,0.01,0.01,0.0
blue,28.80472,16.452379999999998,0.0,0.01,0.01,0.0
blue,30.6018,16.52185,0.0,0.01,0.01,0.0
blue,32.30297,16.61092,0.0,0.01,0.01,0.0
blue,34.2309,16.87426,0.0,0.01,0.01,0.0
blue,36.31378,17.83902,0.0,0.01,0.01,0.0
blue,37.78722,19.226570000000002,0.0,0.01,0.01,0.0
blue,38.943659999999994,20.94324,0.0,0.01,0.01,0.0
blue,39.49224,23.33173,0.0,0.01,0.01,0.0
blue,38.78332,25.57433,0.0,0.01,0.01,0.0
blue,37.57479,27.227929999999997,0.0,0.01,0.01,0.0
blue,36.05538,28.56744,0.0,0.01,0.01,0.0
blue,33.856840000000005,29.44802,0.0,0.01,0.01,0.0
blue,31.90502,29.527340000000002,0.0,0.01,0.01,0.0
blue,30.28332,29.49946,0.0,0.01,0.01,0.0
blue,28.560679999999998,29.54252,0.0,0.01,0.01,0.0
blue,26.841859999999997,29.54413,0.0,0.01,0.01,0.0
blue,25.14045,29.5288,0.0,0.01,0.01,0.0
blue,23.43905,29.51347,0.0,0.01,0.01,0.0
blue,21.73781,29.50065,0.0,0.01,0.01,0.0
blue,20.03742,29.500490000000003,0.0,0.01,0.01,0.0
blue,18.33698,29.50034,0.0,0.01,0.01,0.0
blue,16.63653,29.500190000000003,0.0,0.01,0.01,0.0
blue,14.93609,29.50003,0.0,0.01,0.01,0.0
blue,13.23565,29.499879999999997,0.0,0.01,0.01,0.0
blue,11.535260000000001,29.49973,0.0,0.01,0.01,0.0
blue,9.817467,29.484540000000003,0.0,0.01,0.01,0.0
blue,8.119978999999999,29.44238,0.0,0.01,0.01,0.0
blue,6.545786,29.46745,0.0,0.01,0.01,0.0
blue,4.936756,29.63284,0.0,0.01,0.01,0.0
blue,3.430172,29.889459999999996,0.0,0.01,0.01,0.0
blue,2.298331,30.311120000000003,0.0,0.01,0.01,0.0
blue,1.406577,31.115270000000002,0.0,0.01,0.01,0.0
blue,0.8550934000000001,32.17307,0.0,0.01,0.01,0.0
blue,0.5313245,33.49895,0.0,0.01,0.01,0.0
blue,0.5923487,34.67638,0.0,0.01,0.01,0.0
blue,1.0159049999999998,35.81736,0.0,0.01,0.01,0.0
blue,1.832784,36.81905,0.0,0.01,0.01,0.0
blue,2.7234830000000003,37.44623,0.0,0.01,0.01,0.0
blue,3.914275,37.63597,0.0,0.01,0.01,0.0
blue,5.473835,37.59215,0.0,0.01,0.01,0.0
blue,7.2360809999999995,37.500209999999996,0.0,0.01,0.01,0.0
blue,8.966177,37.51084,0.0,0.01,0.01,0.0
blue,10.66461,37.5097,0.0,0.01,0.01,0.0
blue,12.36299,37.50857,0.0,0.01,0.01,0.0
blue,14.06143,37.50743,0.0,0.01,0.01,0.0
blue,15.75986,37.5063,0.0,0.01,0.01,0.0
blue,17.458289999999998,37.50516,0.0,0.01,0.01,0.0
blue,19.15672,37.50403,0.0,0.01,0.01,0.0
blue,20.85511,37.50289,0.0,0.01,0.01,0.0
blue,22.553539999999998,37.50175,0.0,0.01,0.01,0.0
blue,24.25198,37.50062,0.0,0.01,0.01,0.0
blue,25.89825,37.48701,0.0,0.01,0.01,0.0
blue,27.54812,37.38204,0.0,0.01,0.01,0.0
blue,29.2757,37.266059999999996,0.0,0.01,0.01,0.0
blue,31.10687,37.2453,0.0,0.01,0.01,0.0
blue,33.07871,37.49261,0.0,0.01,0.01,0.0
blue,34.95661,38.153079999999996,0.0,0.01,0.01,0.0
blue,36.67092,39.121520000000004,0.0,0.01,0.01,0.0
blue,38.26556,40.63687,0.0,0.01,0.01,0.0
blue,39.21407,42.59046,0.0,0.01,0.01,0.0
